Chrome version Chrome/136.0.7103.59
reader-browser: index at 1440px; HTTP 200
reader-browser: core-rules at 1440px; HTTP 200
reader-browser: map-reference at 1440px; HTTP 200
reader-browser: component-reference at 1440px; HTTP 200
reader-browser: component-inventory at 1440px; HTTP 200
reader-browser: card-reference at 1440px; HTTP 200
reader-browser: design-decisions at 1440px; HTTP 200
reader-browser: index at 390px; HTTP 200
reader-browser: core-rules at 390px; HTTP 200
reader-browser: map-reference at 390px; HTTP 200
reader-browser: component-reference at 390px; HTTP 200
reader-browser: component-inventory at 390px; HTTP 200
reader-browser: card-reference at 390px; HTTP 200
reader-browser: design-decisions at 390px; HTTP 200
reader-browser: passed 14 page/viewport checks, local HTTP links and cross-reference focus; Chrome/136.0.7103.59
