block,count,faction,seat,backend,treatment,score,winShare,firstProductiveProjectEra,productiveProjectEras,projectComputeGained,agiDeclared,capability,customers,trust,productions,report,reportSha256,outcomes,outcomesSha256
0,4,coalition_lab,0,greedy,baseline,14,0,,0,0,False,11,2,5,4,evidence/studies/simulation/20260906T215940659Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-0-1x4-baseline-a130b006-780b-4e77-bed0-bf959790bd2c.json,sha256:3a62df649298c36266aaa6c7401eacafa63a154d105ed30a1732069c6321e942,evidence/studies/simulation/20260906T215940659Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-0-1x4-baseline-a130b006-780b-4e77-bed0-bf959790bd2c-outcomes.json,sha256:51ae93b2c921e4cd71bc1cdc64a69d14310ad49a5332383a533caff36182161b
0,4,coalition_lab,0,greedy,infrastructure_plan_v1,30,1,3,2,6,True,11,3,6,4,evidence/studies/simulation/20260906T215941047Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-0-1x4-infrastructure-plan-v1-3453efd0-b34b-4dfa-8489-86f3bde97c04.json,sha256:eadb64fecd92309e943a9838e909f6ec798030f54947df5dc95358c2d5f4b93e,evidence/studies/simulation/20260906T215941047Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-0-1x4-infrastructure-plan-v1-3453efd0-b34b-4dfa-8489-86f3bde97c04-outcomes.json,sha256:73df7d74158338bd498d737fd9bfd733e0469efaa9e96abf5e8c5e8cda9ce885
0,4,coalition_lab,0,greedy,research_deploy_plan_v1,21,1,,0,0,False,8,4,6,4,evidence/studies/simulation/20260906T215941415Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-0-1x4-research-deploy-plan-v1-d449afdb-83a5-49d0-85b2-b08db83036b5.json,sha256:41dd5b023c8f81fe2535cfcf3dfc3e6d68ed10af334abf9de0d1697c3cf4468d,evidence/studies/simulation/20260906T215941415Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-0-1x4-research-deploy-plan-v1-d449afdb-83a5-49d0-85b2-b08db83036b5-outcomes.json,sha256:dd357bf7e5aa6eae4163ea26945920e7220565fd502c618b0c7c5a7e0de115f7
1,4,coalition_lab,0,weighted,baseline,14,0,,0,0,False,7,2,6,4,evidence/studies/simulation/20260906T215941793Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-1-1x4-baseline-1d072421-280b-4a96-8373-0e4a69a3b48c.json,sha256:2a09f09e3c1c57688c6b23f0eccdcc3bf814dd47d263f2d115afcd6082881f1a,evidence/studies/simulation/20260906T215941793Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-1-1x4-baseline-1d072421-280b-4a96-8373-0e4a69a3b48c-outcomes.json,sha256:49a1955144b84119df662e48f21896651e50125fd88694838b8ac1fb48968818
1,4,coalition_lab,0,weighted,infrastructure_plan_v1,21,0,,0,0,False,11,3,6,4,evidence/studies/simulation/20260906T215942166Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-1-1x4-infrastructure-plan-v1-9db48fd6-5496-499d-aebb-f4558376a492.json,sha256:0926c5eeb9474a1147f7eae178d6b79f761e3150848285e12565f213b998fe28,evidence/studies/simulation/20260906T215942166Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-1-1x4-infrastructure-plan-v1-9db48fd6-5496-499d-aebb-f4558376a492-outcomes.json,sha256:675f87b52d9ba3a62a04f2ef269efb9716f65b5b13dc0e8560cca90f5767c9a1
1,4,coalition_lab,0,weighted,research_deploy_plan_v1,23,0,,0,0,False,9,3,6,4,evidence/studies/simulation/20260906T215942540Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-1-1x4-research-deploy-plan-v1-7a885058-7361-4fd4-aa4b-e56dc4318740.json,sha256:392a4cdbdfdd857c571cea38f3efce3d3e79a26b6eb77a085388979741123afa,evidence/studies/simulation/20260906T215942540Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-1-1x4-research-deploy-plan-v1-7a885058-7361-4fd4-aa4b-e56dc4318740-outcomes.json,sha256:6b25bdf34d06e6a2d6332b21c44f2fd0d083f2ed49953f7ac778f6c33796e863
2,4,coalition_lab,1,greedy,baseline,17,0,,0,0,False,6,2,6,4,evidence/studies/simulation/20260906T215942888Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-2-1x4-baseline-679eaabf-274b-4ba6-bfd9-9c2964378737.json,sha256:8f0d3c188346e21bfcb19f931baff2fbc2dc654c380e9784fb2e3dfc5c0d2c6a,evidence/studies/simulation/20260906T215942888Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-2-1x4-baseline-679eaabf-274b-4ba6-bfd9-9c2964378737-outcomes.json,sha256:d82edf1ffaa5c05b0fc251da300375c192cb9f76cde91721b00a77a7f3ce6d6b
2,4,coalition_lab,1,greedy,infrastructure_plan_v1,28,1,3,2,6,True,11,4,4,4,evidence/studies/simulation/20260906T215943237Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-2-1x4-infrastructure-plan-v1-b298d1ce-3275-409d-bf82-dff91f8899c5.json,sha256:3d79db35ddeb3970e665af073319074574f5de49f33e998799908eb49cfd9add,evidence/studies/simulation/20260906T215943237Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-2-1x4-infrastructure-plan-v1-b298d1ce-3275-409d-bf82-dff91f8899c5-outcomes.json,sha256:9f742e1ab85a774a4664ea4f3dc002f8fa1a68519cf5e33ef2df2999de02e4e7
2,4,coalition_lab,1,greedy,research_deploy_plan_v1,22,1,,0,0,False,10,4,6,4,evidence/studies/simulation/20260906T215943576Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-2-1x4-research-deploy-plan-v1-3cac0f9f-5f43-4327-9c6f-e94e2fb061ab.json,sha256:872d60a7dbe8699287cf0476971084576803e2f53f4bb850ebd75ca28158e125,evidence/studies/simulation/20260906T215943576Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-2-1x4-research-deploy-plan-v1-3cac0f9f-5f43-4327-9c6f-e94e2fb061ab-outcomes.json,sha256:3756ae506dddfbdc6233d0e53b40382e6f5b8e52d00e38d23902c6140ba5b3a1
3,4,coalition_lab,1,weighted,baseline,9,0,,0,0,False,3,1,6,4,evidence/studies/simulation/20260906T215943929Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-3-1x4-baseline-5bb6e7b1-8882-42e6-b06f-95fb20c9ff4b.json,sha256:63ead6d191d7e500b6a6fea30856b59208c7b2ed6c275ca725355ba51e6f8307,evidence/studies/simulation/20260906T215943929Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-3-1x4-baseline-5bb6e7b1-8882-42e6-b06f-95fb20c9ff4b-outcomes.json,sha256:98cf44ac6d2c7cc62c85d8be1e285955e7048e47d8e6676fb464927604f7a572
3,4,coalition_lab,1,weighted,infrastructure_plan_v1,19,1,3,2,6,False,8,2,5,4,evidence/studies/simulation/20260906T215944284Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-3-1x4-infrastructure-plan-v1-6b6a72c8-341d-4987-a20a-09437318fb56.json,sha256:4b68f893b60d379273b6e2ee63fff7be818645b5a9be38d3569f00fcce6916cf,evidence/studies/simulation/20260906T215944284Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-3-1x4-infrastructure-plan-v1-6b6a72c8-341d-4987-a20a-09437318fb56-outcomes.json,sha256:e01895c3c9badd5db0ca37aff1f23797301c2182560c5add3ad92fcb7a379807
