run_name,run_status,dataset_label,model_role,result_category,display_category,display_label,short_run_name,chart_label,pair_count,pairs_input_spec,schedule,group_label,eval_variant,eval_checkpoint,decode,external_bleu,external_chrf,indomain_bleu,evaluated_model
baseline__facebook__nllb-200-distilled-600m__2026-03-10T014951Z,baseline,,baseline,external_baseline,External Baseline,External Baseline | greedy,facebook__nllb-200-distilled-600m,External Baseline | facebook__nllb-200-distilled-600m,,baseline,baseline,default,,,greedy,38.4519,63.2696,59.4292,facebook/nllb-200-distilled-600M
baseline__facebook__nllb-200-distilled-1.3b__2026-03-10T023424Z,baseline,,baseline,external_baseline,External Baseline,External Baseline | greedy,facebook__nllb-200-distilled-1.3b,External Baseline | facebook__nllb-200-distilled-1.3b,,baseline,baseline,final,final,,greedy,37.9870,62.9284,58.8747,facebook/nllb-200-distilled-1.3B
baseline__helsinki-nlp__opus-mt-es-en__2026-03-10T022943Z,baseline,,baseline,external_baseline,External Baseline,External Baseline | greedy,helsinki-nlp__opus-mt-es-en,External Baseline | helsinki-nlp__opus-mt-es-en,,baseline,baseline,final,final,,greedy,37.2022,65.1621,58.5298,Helsinki-NLP/opus-mt-es-en
baseline__facebook__m2m100_1.2b__2026-03-10T025214Z,baseline,,baseline,external_baseline,External Baseline,External Baseline | greedy,facebook__m2m100_1.2b,External Baseline | facebook__m2m100_1.2b,,baseline,baseline,final,final,,greedy,36.8589,61.7235,60.3346,facebook/m2m100_1.2B
baseline__helsinki-nlp__opus-mt-en-es__2026-03-10T020411Z,baseline,,baseline,external_baseline,External Baseline,External Baseline | greedy,helsinki-nlp__opus-mt-en-es,External Baseline | helsinki-nlp__opus-mt-en-es,,baseline,baseline,final,final,,greedy,35.6963,61.7223,61.2861,Helsinki-NLP/opus-mt-en-es
baseline__google__translategemma-4b-it__2026-03-10T134941Z,baseline,,baseline,external_baseline,External Baseline,External Baseline | greedy,google__translategemma-4b-it,External Baseline | google__translategemma-4b-it,,baseline,baseline,final,final,,greedy,34.0474,61.0088,45.5415,google/translategemma-4b-it
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_defer_studentonly_v1,completed,train_pairs.rows1600.normalized.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-004000 | greedy,stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_defer_studentonly_v1,Student Stage A | stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_defer_studentonly_v1,1600,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_defer_studentonly_v1/inputs/train_pairs.rows1600.normalized.jsonl,A_then_B,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,33.7353,59.6065,54.4500,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_defer_studentonly_v1/stage_a/checkpoint-004000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_ckpt4000_lr5e6_1k_dense250_v1,completed,train_pairs.rows1600.normalized.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-000250 | greedy,stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_ckpt4000_lr5e6_1k_dense250_v1,Student Stage A | stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_ckpt4000_lr5e6_1k_dense250_v1,1600,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_ckpt4000_lr5e6_1k_dense250_v1/inputs/train_pairs.rows1600.normalized.jsonl,A_then_B,stage_a__checkpoint-000250,stage_a,checkpoint-000250,greedy,33.6283,59.6061,54.2064,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_ckpt4000_lr5e6_1k_dense250_v1/stage_a/checkpoint-000250
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_6k_dense500_defer_studentonly_v1,completed,train_pairs.rows1600.normalized.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-003000 | greedy,stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_6k_dense500_defer_studentonly_v1,Student Stage A | stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_6k_dense500_defer_studentonly_v1,1600,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_6k_dense500_defer_studentonly_v1/inputs/train_pairs.rows1600.normalized.jsonl,A_then_B,stage_a__checkpoint-003000,stage_a,checkpoint-003000,greedy,33.2481,59.4567,54.0575,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_6k_dense500_defer_studentonly_v1/stage_a/checkpoint-003000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexlow_pack06_prune10_defer_studentonly_v2,completed,train_pairs.rows1568.normalized.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-003000 | greedy,stagea_goldgrid_rows1568_bf16_codexlow_pack06_prune10_defer_studentonly_v2,Student Stage A | stagea_goldgrid_rows1568_bf16_codexlow_pack06_prune10_defer_studentonly_v2,1568,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexlow_pack06_prune10_defer_studentonly_v2/inputs/train_pairs.rows1568.normalized.jsonl,A_then_B,stage_a__checkpoint-003000,stage_a,checkpoint-003000,greedy,32.9055,59.4631,54.8940,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexlow_pack06_prune10_defer_studentonly_v2/stage_a/checkpoint-003000
