run_name,run_status,summary_source,timestamp_utc,updated_utc,source_langs,target_langs,pair_count,pairs_input_spec,schedule,total_steps,sft_steps,distill_steps,lambda_kd,mu_triplet,kd_temperature,margin,teacher_model_cfg,student_model_cfg,resumed,resume_stage,resume_from,group_label,eval_variant,eval_checkpoint,decode,evaluated_model,external_wmt13_en_es_translation_benchmark_128_bleu,external_wmt13_en_es_translation_benchmark_128_chrf,external_wmt13_en_es_translation_benchmark_128_pairs,external_wmt13_en_es_translation_benchmark_128_eval_dir,indomain_clean_merged_en_es_translation_benchmark_128_bleu,indomain_clean_merged_en_es_translation_benchmark_128_chrf,indomain_clean_merged_en_es_translation_benchmark_128_pairs,indomain_clean_merged_en_es_translation_benchmark_128_eval_dir,other_eval_sets,other_eval_count,external_minus_indomain_bleu,dataset_label
translategemma4b_es_en_gemma3_1b_stagea_cpu_subset2560_seed42_20260307T013333Z,contract_only,run_contract,2026-03-07 16:06:15 UTC,2026-03-07 21:58:35 UTC,,,,projects/distillation/translation/training_data/subsets/translate_distill_pairs_en_es_2way.train.merged.subset_2560.seed42.jsonl,A_then_B,,,,,,,,,,false,none,none,stage_a__checkpoint-012000,stage_a,checkpoint-012000,greedy,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_cpu_subset2560_seed42_20260307T013333Z/stage_a/checkpoint-012000,4.5627,,projects/distillation/translation/training_data/translate_distill_pairs.eval2_wmt13_enes_128.jsonl,eval_stagea12k_eval2_greedy_live,,,,,,0,,Merged Subset 2560
translategemma4b_es_en_gemma3_1b_stagea_cpu_subset2560_seed42_20260307T013333Z,contract_only,run_contract,2026-03-07 16:06:15 UTC,2026-03-07 21:58:35 UTC,,,,projects/distillation/translation/training_data/subsets/translate_distill_pairs_en_es_2way.train.merged.subset_2560.seed42.jsonl,A_then_B,,,,,,,,,,false,none,none,stage_a__checkpoint-008000,stage_a,checkpoint-008000,greedy,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_cpu_subset2560_seed42_20260307T013333Z/stage_a/checkpoint-008000,3.9701,,projects/distillation/translation/training_data/translate_distill_pairs.eval2_wmt13_enes_128.jsonl,eval_stagea8k_eval2_greedy_live,,,,,,0,,Merged Subset 2560
translategemma4b_es_en_gemma3_1b_stagea_cpu_subset2560_seed42_20260307T013333Z,contract_only,run_contract,2026-03-07 16:06:15 UTC,2026-03-07 21:58:35 UTC,,,,projects/distillation/translation/training_data/subsets/translate_distill_pairs_en_es_2way.train.merged.subset_2560.seed42.jsonl,A_then_B,,,,,,,,,,false,none,none,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_cpu_subset2560_seed42_20260307T013333Z/stage_a/checkpoint-004000,6.1746,,projects/distillation/translation/training_data/translate_distill_pairs.eval2_wmt13_enes_128.jsonl,eval_stagea4k_eval2_greedy_live,,,,,,0,,Merged Subset 2560
translategemma4b_es_en_gemma3_1b_stagea_cpu_subset1280_seed42_20260307T013333Z,completed,train_summary,2026-03-07 16:06:03 UTC,2026-03-07 16:06:03 UTC,"en,es","en,es",1280,projects/distillation/translation/training_data/subsets/translate_distill_pairs_en_es_2way.train.merged.subset_1280.seed42.jsonl,A_then_B,32000,32000,0,0.0000,0.0000,1.0000,0.2000,/home/x/.cache/huggingface/hub/models--google--translategemma-4b-it/snapshots/10042cb0e6e7fdce748996a71dc3dc432a4e0c89,/home/x/.cache/huggingface/hub/models--google--gemma-3-1b-it/snapshots/dcc83ea841ab6100d6b47a070329e1ba4cf78752,false,None,,stage_a__checkpoint-028000,stage_a,checkpoint-028000,greedy,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_cpu_subset1280_seed42_20260307T013333Z/stage_a/checkpoint-028000,5.7466,,projects/distillation/translation/training_data/translate_distill_pairs.eval2_wmt13_enes_128.jsonl,eval_stagea28k_eval2_greedy_live,,,,,,0,,Merged Subset 1280
translategemma4b_es_en_gemma3_1b_stagea_cpu_subset1280_seed42_20260307T013333Z,completed,train_summary,2026-03-07 16:06:03 UTC,2026-03-07 16:06:03 UTC,"en,es","en,es",1280,projects/distillation/translation/training_data/subsets/translate_distill_pairs_en_es_2way.train.merged.subset_1280.seed42.jsonl,A_then_B,32000,32000,0,0.0000,0.0000,1.0000,0.2000,/home/x/.cache/huggingface/hub/models--google--translategemma-4b-it/snapshots/10042cb0e6e7fdce748996a71dc3dc432a4e0c89,/home/x/.cache/huggingface/hub/models--google--gemma-3-1b-it/snapshots/dcc83ea841ab6100d6b47a070329e1ba4cf78752,false,None,,stage_a__checkpoint-024000,stage_a,checkpoint-024000,greedy,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_cpu_subset1280_seed42_20260307T013333Z/stage_a/checkpoint-024000,6.4361,,projects/distillation/translation/training_data/translate_distill_pairs.eval2_wmt13_enes_128.jsonl,eval_stagea24k_eval2_greedy_live,,,,,,0,,Merged Subset 1280
translategemma4b_es_en_gemma3_1b_stagea_cpu_subset1280_seed42_20260307T013333Z,completed,train_summary,2026-03-07 16:06:03 UTC,2026-03-07 16:06:03 UTC,"en,es","en,es",1280,projects/distillation/translation/training_data/subsets/translate_distill_pairs_en_es_2way.train.merged.subset_1280.seed42.jsonl,A_then_B,32000,32000,0,0.0000,0.0000,1.0000,0.2000,/home/x/.cache/huggingface/hub/models--google--translategemma-4b-it/snapshots/10042cb0e6e7fdce748996a71dc3dc432a4e0c89,/home/x/.cache/huggingface/hub/models--google--gemma-3-1b-it/snapshots/dcc83ea841ab6100d6b47a070329e1ba4cf78752,false,None,,stage_a__checkpoint-020000,stage_a,checkpoint-020000,greedy,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_cpu_subset1280_seed42_20260307T013333Z/stage_a/checkpoint-020000,5.7465,,projects/distillation/translation/training_data/translate_distill_pairs.eval2_wmt13_enes_128.jsonl,eval_stagea20k_eval2_greedy_live,,,,,,0,,Merged Subset 1280
translategemma4b_es_en_gemma3_1b_stagea_cpu_subset1280_seed42_20260307T013333Z,completed,train_summary,2026-03-07 16:06:03 UTC,2026-03-07 16:06:03 UTC,"en,es","en,es",1280,projects/distillation/translation/training_data/subsets/translate_distill_pairs_en_es_2way.train.merged.subset_1280.seed42.jsonl,A_then_B,32000,32000,0,0.0000,0.0000,1.0000,0.2000,/home/x/.cache/huggingface/hub/models--google--translategemma-4b-it/snapshots/10042cb0e6e7fdce748996a71dc3dc432a4e0c89,/home/x/.cache/huggingface/hub/models--google--gemma-3-1b-it/snapshots/dcc83ea841ab6100d6b47a070329e1ba4cf78752,false,None,,stage_a__checkpoint-016000,stage_a,checkpoint-016000,greedy,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_cpu_subset1280_seed42_20260307T013333Z/stage_a/checkpoint-016000,3.3827,,projects/distillation/translation/training_data/translate_distill_pairs.eval2_wmt13_enes_128.jsonl,eval_stagea16k_eval2_greedy_live,,,,,,0,,Merged Subset 1280
translategemma4b_es_en_gemma3_1b_stagea_cpu_subset1280_seed42_20260307T013333Z,completed,train_summary,2026-03-07 16:06:03 UTC,2026-03-07 16:06:03 UTC,"en,es","en,es",1280,projects/distillation/translation/training_data/subsets/translate_distill_pairs_en_es_2way.train.merged.subset_1280.seed42.jsonl,A_then_B,32000,32000,0,0.0000,0.0000,1.0000,0.2000,/home/x/.cache/huggingface/hub/models--google--translategemma-4b-it/snapshots/10042cb0e6e7fdce748996a71dc3dc432a4e0c89,/home/x/.cache/huggingface/hub/models--google--gemma-3-1b-it/snapshots/dcc83ea841ab6100d6b47a070329e1ba4cf78752,false,None,,stage_a__checkpoint-012000,stage_a,checkpoint-012000,greedy,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_cpu_subset1280_seed42_20260307T013333Z/stage_a/checkpoint-012000,4.6705,,projects/distillation/translation/training_data/translate_distill_pairs.eval2_wmt13_enes_128.jsonl,eval_stagea12k_eval2_greedy_live,,,,,,0,,Merged Subset 1280
translategemma4b_es_en_gemma3_1b_stagea_cpu_subset1280_seed42_20260307T013333Z,completed,train_summary,2026-03-07 16:06:03 UTC,2026-03-07 16:06:03 UTC,"en,es","en,es",1280,projects/distillation/translation/training_data/subsets/translate_distill_pairs_en_es_2way.train.merged.subset_1280.seed42.jsonl,A_then_B,32000,32000,0,0.0000,0.0000,1.0000,0.2000,/home/x/.cache/huggingface/hub/models--google--translategemma-4b-it/snapshots/10042cb0e6e7fdce748996a71dc3dc432a4e0c89,/home/x/.cache/huggingface/hub/models--google--gemma-3-1b-it/snapshots/dcc83ea841ab6100d6b47a070329e1ba4cf78752,false,None,,stage_a__checkpoint-008000,stage_a,checkpoint-008000,greedy,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_cpu_subset1280_seed42_20260307T013333Z/stage_a/checkpoint-008000,4.9284,,projects/distillation/translation/training_data/translate_distill_pairs.eval2_wmt13_enes_128.jsonl,eval_stagea8k_eval2_greedy_live,,,,,,0,,Merged Subset 1280
translategemma4b_es_en_gemma3_1b_stagea_cpu_subset1280_seed42_20260307T013333Z,completed,train_summary,2026-03-07 16:06:03 UTC,2026-03-07 16:06:03 UTC,"en,es","en,es",1280,projects/distillation/translation/training_data/subsets/translate_distill_pairs_en_es_2way.train.merged.subset_1280.seed42.jsonl,A_then_B,32000,32000,0,0.0000,0.0000,1.0000,0.2000,/home/x/.cache/huggingface/hub/models--google--translategemma-4b-it/snapshots/10042cb0e6e7fdce748996a71dc3dc432a4e0c89,/home/x/.cache/huggingface/hub/models--google--gemma-3-1b-it/snapshots/dcc83ea841ab6100d6b47a070329e1ba4cf78752,false,None,,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_cpu_subset1280_seed42_20260307T013333Z/stage_a/checkpoint-004000,6.7827,,projects/distillation/translation/training_data/translate_distill_pairs.eval2_wmt13_enes_128.jsonl,eval_stagea4k_eval2_greedy_live,,,,,,0,,Merged Subset 1280
translategemma4b_es_en_gemma3_1b_full_train17532_real1b_20260305_210210,contract_only,run_contract,2026-03-06 19:31:57 UTC,2026-03-06 23:28:23 UTC,,,,projects/distillation/translation/training_data/translate_distill_pairs_en_es_2way.train.merged.jsonl,A_then_B,,,,,,,,,,false,none,none,stage_b__checkpoint-002000,stage_b,checkpoint-002000,greedy,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_full_train17532_real1b_20260305_210210/stage_b/checkpoint-002000,7.9159,35.6396,projects/distillation/translation/training_data/translate_distill_pairs.eval2_wmt13_enes_128.jsonl,eval_stageb002000_external_wmt13_greedy_20260306,87.3266,97.2802,projects/distillation/translation/training_data/translate_distill_pairs.eval3_indomain_clean_merged_128.jsonl,eval_stageb002000_indomain_clean_greedy_20260306,,0,-79.4107,Merged Full 17532
translategemma4b_es_en_gemma3_1b_full_train17532_real1b_20260305_210210,contract_only,run_contract,2026-03-06 19:31:57 UTC,2026-03-06 23:28:23 UTC,,,,projects/distillation/translation/training_data/translate_distill_pairs_en_es_2way.train.merged.jsonl,A_then_B,,,,,,,,,,false,none,none,stage_a__checkpoint-032000,stage_a,checkpoint-032000,greedy,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_full_train17532_real1b_20260305_210210/stage_a/checkpoint-032000,6.4642,33.9828,projects/distillation/translation/training_data/translate_distill_pairs.eval2_wmt13_enes_128.jsonl,eval_stagea32_eval2_greedy_20260306,87.4218,97.4243,projects/distillation/translation/training_data/translate_distill_pairs.eval3_indomain_clean_merged_128.jsonl,eval_stagea32_eval3_greedy_20260306,,0,-80.9576,Merged Full 17532
translategemma4b_es_en_gemma3_1b_full_train17532_real1b_20260305_210210,contract_only,run_contract,2026-03-06 19:31:57 UTC,2026-03-06 23:28:23 UTC,,,,projects/distillation/translation/training_data/translate_distill_pairs_en_es_2way.train.merged.jsonl,A_then_B,,,,,,,,,,false,none,none,stage_a__checkpoint-022000,stage_a,checkpoint-022000,greedy,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_full_train17532_real1b_20260305_210210/stage_a/checkpoint-022000,5.6350,33.7260,projects/distillation/translation/training_data/translate_distill_pairs.eval2_wmt13_enes_128.jsonl,eval_stagea22k_eval2_greedy_20260306_rerun_tmux,87.1698,97.2928,projects/distillation/translation/training_data/translate_distill_pairs.eval3_indomain_clean_merged_128.jsonl,eval_stagea22k_eval3_greedy_20260306_rerun_tmux,,0,-81.5348,Merged Full 17532
translategemma4b_es_en_gemma3_1b_full_train17532_real1b_20260305_210210,contract_only,run_contract,2026-03-06 19:31:57 UTC,2026-03-06 23:28:23 UTC,,,,projects/distillation/translation/training_data/translate_distill_pairs_en_es_2way.train.merged.jsonl,A_then_B,,,,,,,,,,false,none,none,stage_a__checkpoint-012000,stage_a,checkpoint-012000,greedy,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_full_train17532_real1b_20260305_210210/stage_a/checkpoint-012000,7.0652,34.9801,projects/distillation/translation/training_data/translate_distill_pairs.eval2_wmt13_enes_128.jsonl,eval_stagea12k_eval2_greedy_20260306_rerun_tmux,86.5173,96.6936,projects/distillation/translation/training_data/translate_distill_pairs.eval3_indomain_clean_merged_128.jsonl,eval_stagea12k_eval3_greedy_20260306_rerun_tmux,,0,-79.4521,Merged Full 17532
translategemma4b_es_en_gemma3_1b_full_train1280_20260303_114100,completed,train_summary,2026-03-04 03:11:44 UTC,2026-03-07 20:34:55 UTC,"en,es","en,es",1280,projects/distillation/translation/training_data/translate_distill_pairs.jsonl,A_then_B,64000,32000,32000,0.5000,0.1000,1.0000,0.2000,google/translategemma-4b-it,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_full_20260303_114100/stage_b/checkpoint-000005,true,stage_b,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_full_20260303_114100/stage_b/checkpoint-000005,teacher4b,teacher4b,,greedy,/home/x/.cache/huggingface/hub/models--google--translategemma-4b-it/snapshots/10042cb0e6e7fdce748996a71dc3dc432a4e0c89,27.5437,59.3547,projects/distillation/translation/training_data/translate_distill_pairs.eval2_wmt13_enes_128.jsonl,eval2_external__teacher4b__greedy,39.2681,69.0260,projects/distillation/translation/training_data/translate_distill_pairs.eval3_indomain_clean_merged_128.jsonl,eval3_indomain_clean__teacher4b__greedy,,0,-11.7244,Gold Legacy 1280
