run_name,dataset_label,pair_count,group_label,eval_variant,eval_checkpoint,decode,external_bleu,indomain_bleu
baseline__facebook__nllb-200-distilled-600m__2026-03-10T014951Z,,,default,,,greedy,38.4519,59.4292
baseline__facebook__nllb-200-distilled-1.3b__2026-03-10T023424Z,,,final,final,,greedy,37.9870,58.8747
baseline__helsinki-nlp__opus-mt-es-en__2026-03-10T022943Z,,,final,final,,greedy,37.2022,58.5298
baseline__facebook__m2m100_1.2b__2026-03-10T025214Z,,,final,final,,greedy,36.8589,60.3346
baseline__helsinki-nlp__opus-mt-en-es__2026-03-10T020411Z,,,final,final,,greedy,35.6963,61.2861
baseline__google__translategemma-4b-it__2026-03-10T134941Z,,,final,final,,greedy,34.0474,45.5415
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_defer_studentonly_v1,train_pairs.rows1600.normalized.jsonl,1600,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,33.7353,54.4500
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_ckpt4000_lr5e6_1k_dense250_v1,train_pairs.rows1600.normalized.jsonl,1600,stage_a__checkpoint-000250,stage_a,checkpoint-000250,greedy,33.6283,54.2064
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_ckpt4000_lr5e6_1k_dense250_v1,train_pairs.rows1600.normalized.jsonl,1600,stage_a__checkpoint-000750,stage_a,checkpoint-000750,greedy,33.5596,54.2740
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_defer_studentonly_v1,train_pairs.rows1600.normalized.jsonl,1600,stage_a__checkpoint-003500,stage_a,checkpoint-003500,greedy,33.4022,54.6898
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_ckpt4000_lr5e6_1k_dense250_v1,train_pairs.rows1600.normalized.jsonl,1600,stage_a__checkpoint-000500,stage_a,checkpoint-000500,greedy,33.3643,54.3043
