run_name,series_label,pair_count,checkpoint_step,checkpoint_name,external_bleu
translategemma4b_es_en_gemma3_1b_stagea_cpu_subset1280_seed42_20260307T013333Z,1280 rows,1280,4000,checkpoint-004000,6.7827
translategemma4b_es_en_gemma3_1b_stagea_cpu_subset1280_seed42_20260307T013333Z,1280 rows,1280,8000,checkpoint-008000,4.9284
translategemma4b_es_en_gemma3_1b_stagea_cpu_subset1280_seed42_20260307T013333Z,1280 rows,1280,12000,checkpoint-012000,4.6705
translategemma4b_es_en_gemma3_1b_stagea_cpu_subset1280_seed42_20260307T013333Z,1280 rows,1280,16000,checkpoint-016000,3.3827
translategemma4b_es_en_gemma3_1b_stagea_cpu_subset1280_seed42_20260307T013333Z,1280 rows,1280,20000,checkpoint-020000,5.7465
translategemma4b_es_en_gemma3_1b_stagea_cpu_subset1280_seed42_20260307T013333Z,1280 rows,1280,24000,checkpoint-024000,6.4361
translategemma4b_es_en_gemma3_1b_stagea_cpu_subset1280_seed42_20260307T013333Z,1280 rows,1280,28000,checkpoint-028000,5.7466
translategemma4b_es_en_gemma3_1b_stagea_cpu_subset2560_seed42_20260307T013333Z,2560 rows,2560,4000,checkpoint-004000,6.1746
translategemma4b_es_en_gemma3_1b_stagea_cpu_subset2560_seed42_20260307T013333Z,2560 rows,2560,8000,checkpoint-008000,3.9701
translategemma4b_es_en_gemma3_1b_stagea_cpu_subset2560_seed42_20260307T013333Z,2560 rows,2560,12000,checkpoint-012000,4.5627
