run_name,run_root,run_status,summary_source,timestamp_utc,updated_utc,source_langs,target_langs,eval_dataset_labels,eval_dataset_paths,pair_count,pairs_input_spec,schedule,total_steps,sft_steps,distill_steps,lambda_kd,mu_triplet,kd_temperature,margin,teacher_model,student_model,resumed,resume_stage,resume_from,resume_from_exists,selected_checkpoint,selected_checkpoint_exists,selected_checkpoint_stage,selected_checkpoint_loss,summary_path,latest_stage_a_checkpoint,latest_stage_a_checkpoint_exists,latest_stage_b_checkpoint,latest_stage_b_checkpoint_exists,final_model,final_model_exists,student_model_exists,recommended_resume_from,artifact_health,artifact_note,dataset_label
translategemma4b_es_en_gemma3_1b_savant_selectorsft_balanced_lr1e7_steps30_20260710,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_selectorsft_balanced_lr1e7_steps30_20260710,completed,train_summary,2026-07-10 23:58:40 UTC,2026-07-10 23:58:59 UTC,,,,,1280,projects/distillation/translation/training_data/savant_sequence/selector_wmt12_esen640_replay_enes640.local.jsonl,A_then_B,30,30,0,0.0000,0.0000,1.0000,0.2000,/home/x/.cache/huggingface_gamma_rocm/hub/models--google--translategemma-4b-it/snapshots/10042cb0e6e7fdce748996a71dc3dc432a4e0c89,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_nativekd2_balanced_sft010_kd010_lr1e6_steps200_20260710/mixed/checkpoint-000025,false,None,,,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_selectorsft_balanced_lr1e7_steps30_20260710/stage_a/checkpoint-000030,true,stage_a,0.2731,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_selectorsft_balanced_lr1e7_steps30_20260710/train_summary.json,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_selectorsft_balanced_lr1e7_steps30_20260710/stage_a/checkpoint-000030,true,,,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_selectorsft_balanced_lr1e7_steps30_20260710/final,true,true,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_selectorsft_balanced_lr1e7_steps30_20260710/stage_a/checkpoint-000030,ok,,selector_wmt12_esen640_replay_enes640.local.jsonl
translategemma4b_es_en_gemma3_1b_savant_specialist_nativekd_sft005_kd010_lr5e7_steps60_20260710,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_specialist_nativekd_sft005_kd010_lr5e7_steps60_20260710,completed,train_summary,2026-07-10 21:50:19 UTC,2026-07-10 21:55:07 UTC,es,en,,,800,projects/distillation/translation/training_data/frozen_best5_refine/frozen_best5.p05/pack_06/frozen_best5.pack_06.replace05.jsonl,mixed_from_start,60,0,0,0.1000,0.0000,1.0000,0.2000,/home/x/.cache/huggingface_gamma_rocm/hub/models--google--translategemma-4b-it/snapshots/10042cb0e6e7fdce748996a71dc3dc432a4e0c89,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1584_bf16_codexprune05_pack06_defer_studentonly_v1/stage_a/checkpoint-000500,false,None,,,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_specialist_nativekd_sft005_kd010_lr5e7_steps60_20260710/mixed/checkpoint-000060,true,mixed,0.1686,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_specialist_nativekd_sft005_kd010_lr5e7_steps60_20260710/train_summary.json,,,,,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_specialist_nativekd_sft005_kd010_lr5e7_steps60_20260710/final,true,true,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_specialist_nativekd_sft005_kd010_lr5e7_steps60_20260710/mixed/checkpoint-000060,ok,,frozen_best5.pack_06.replace05.jsonl
savant_nativekd2_candidate_logprob_rerank_20260710,projects/distillation/translation/runs/savant_nativekd2_candidate_logprob_rerank_20260710,contract_only,run_contract,2026-07-10 21:41:18 UTC,2026-07-10 23:40:36 UTC,,,"projects/distillation/translation/training_data/savant_wmt/sacrebleu_wmt12_en_es_bidirectional.local.jsonl,external_wmt13_en_es_translation_benchmark_128","projects/distillation/translation/training_data/savant_wmt/sacrebleu_wmt12_en_es_bidirectional.local.jsonl,projects/distillation/translation/training_data/translate_distill_pairs.eval2_wmt13_enes_128.jsonl",,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_nativekd2_balanced_sft010_kd010_lr1e6_steps200_20260710/decode_policy_search_wmt12_mbr128/sample8_t0p6_p0p9_mbrchrf/wmt12_heldout_128__checkpoint-000025__sample8_t0p6_p0p9_mbrchrf/student_predictions.jsonl,mixed_from_start,,,,,,,,,,true,mixed,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_nativekd2_balanced_sft010_kd010_lr1e6_steps200_20260710/mixed/checkpoint-000025,true,,,,,projects/distillation/translation/runs/savant_nativekd2_candidate_logprob_rerank_20260710/run_contract.txt,,,,,,,,,ok,,student_predictions.jsonl
savant_nativekd2_directional_mbr_external_20260710,projects/distillation/translation/runs/savant_nativekd2_directional_mbr_external_20260710,contract_only,run_contract,2026-07-10 21:33:32 UTC,2026-07-10 21:46:04 UTC,,,external_wmt13_en_es_translation_benchmark_128,projects/distillation/translation/training_data/translate_distill_pairs.eval2_wmt13_enes_128.jsonl,,projects/distillation/translation/training_data/translate_distill_pairs.eval2_wmt13_enes_128.jsonl,mixed_from_start,,,,,,,,,,true,mixed,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_nativekd2_balanced_sft010_kd010_lr1e6_steps200_20260710/mixed/checkpoint-000025,true,,,,,projects/distillation/translation/runs/savant_nativekd2_directional_mbr_external_20260710/run_contract.txt,,,,,,,,,ok,,translate_distill_pairs.eval2_wmt13_enes_128.jsonl
translategemma4b_es_en_gemma3_1b_savant_seqsft_wmt12_esen1023_replay256_lr2e7_steps50_20260710,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_seqsft_wmt12_esen1023_replay256_lr2e7_steps50_20260710,completed,train_summary,2026-07-10 21:18:11 UTC,2026-07-10 23:54:32 UTC,,,,,1279,projects/distillation/translation/training_data/savant_sequence/translategemma_wmt12_esen1024_replay_enes256.local.jsonl,A_then_B,50,50,0,0.0000,0.0000,1.0000,0.2000,/home/x/.cache/huggingface_gamma_rocm/hub/models--google--translategemma-4b-it/snapshots/10042cb0e6e7fdce748996a71dc3dc432a4e0c89,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_nativekd2_balanced_sft010_kd010_lr1e6_steps200_20260710/mixed/checkpoint-000025,false,None,,,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_seqsft_wmt12_esen1023_replay256_lr2e7_steps50_20260710/stage_a/checkpoint-000050,true,stage_a,1.1317,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_seqsft_wmt12_esen1023_replay256_lr2e7_steps50_20260710/train_summary.json,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_seqsft_wmt12_esen1023_replay256_lr2e7_steps50_20260710/stage_a/checkpoint-000050,true,,,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_seqsft_wmt12_esen1023_replay256_lr2e7_steps50_20260710/final,true,true,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_seqsft_wmt12_esen1023_replay256_lr2e7_steps50_20260710/stage_a/checkpoint-000050,ok,,translategemma_wmt12_esen1024_replay_enes256.local.jsonl
savant_translategemma_sequence_labels_wmt12_esen_20260710,projects/distillation/translation/runs/savant_translategemma_sequence_labels_wmt12_esen_20260710,contract_only,run_contract,2026-07-10 20:47:29 UTC,2026-07-10 21:15:55 UTC,,,projects/distillation/translation/training_data/savant_wmt/sacrebleu_wmt12_en_es_bidirectional.local.jsonl,projects/distillation/translation/training_data/savant_wmt/sacrebleu_wmt12_en_es_bidirectional.local.jsonl,,projects/distillation/translation/training_data/savant_wmt/sacrebleu_wmt12_en_es_bidirectional.local.jsonl,teacher_label_generation,,,,,,,,,,false,none,none,,,,,,projects/distillation/translation/runs/savant_translategemma_sequence_labels_wmt12_esen_20260710/run_contract.txt,,,,,,,,,ok,,sacrebleu_wmt12_en_es_bidirectional.local.jsonl
savant_nativekd2_weight_delta_sweep_20260710,projects/distillation/translation/runs/savant_nativekd2_weight_delta_sweep_20260710,contract_only,run_contract,2026-07-10 20:29:19 UTC,2026-07-10 20:31:55 UTC,,,external_wmt13_en_es_translation_benchmark_128,projects/distillation/translation/training_data/translate_distill_pairs.eval2_wmt13_enes_128.jsonl,,projects/distillation/translation/training_data/translate_distill_pairs.eval2_wmt13_enes_128.jsonl,weight_delta_sweep,,,,,,,,,,true,mixed,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_nativekd_balanced_lr2e6_kd005_steps400_20260710/mixed/checkpoint-000100,true,,,,,projects/distillation/translation/runs/savant_nativekd2_weight_delta_sweep_20260710/run_contract.txt,,,,,,,,,ok,,translate_distill_pairs.eval2_wmt13_enes_128.jsonl
translategemma4b_es_en_gemma3_1b_savant_wmt12_nativekd_sft005_kd010_lr5e7_steps100_20260710,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_wmt12_nativekd_sft005_kd010_lr5e7_steps100_20260710,completed,train_summary,2026-07-10 20:20:07 UTC,2026-07-10 20:20:18 UTC,,,,,6006,projects/distillation/translation/training_data/savant_wmt/sacrebleu_wmt12_en_es_bidirectional.local.jsonl,mixed_from_start,100,0,0,0.1000,0.0000,1.0000,0.2000,/home/x/.cache/huggingface_gamma_rocm/hub/models--google--translategemma-4b-it/snapshots/10042cb0e6e7fdce748996a71dc3dc432a4e0c89,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_nativekd2_balanced_sft010_kd010_lr1e6_steps200_20260710/mixed/checkpoint-000025,false,None,,,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_wmt12_nativekd_sft005_kd010_lr5e7_steps100_20260710/mixed/checkpoint-000100,true,mixed,0.3101,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_wmt12_nativekd_sft005_kd010_lr5e7_steps100_20260710/train_summary.json,,,,,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_wmt12_nativekd_sft005_kd010_lr5e7_steps100_20260710/final,true,true,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_wmt12_nativekd_sft005_kd010_lr5e7_steps100_20260710/mixed/checkpoint-000100,ok,,sacrebleu_wmt12_en_es_bidirectional.local.jsonl
translategemma4b_es_en_gemma3_1b_savant_nativekd2_balanced_sft010_kd010_lr1e6_steps200_20260710,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_nativekd2_balanced_sft010_kd010_lr1e6_steps200_20260710,completed,train_summary,2026-07-10 20:11:11 UTC,2026-07-10 21:30:05 UTC,,,,,1600,projects/distillation/translation/training_data/frozen_best5_refine/frozen_best5.p05/pack_06/frozen_best5.pack_06.replace05.jsonl,mixed_from_start,200,0,0,0.1000,0.0000,1.0000,0.2000,/home/x/.cache/huggingface_gamma_rocm/hub/models--google--translategemma-4b-it/snapshots/10042cb0e6e7fdce748996a71dc3dc432a4e0c89,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_nativekd_balanced_lr2e6_kd005_steps400_20260710/mixed/checkpoint-000100,false,None,,,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_nativekd2_balanced_sft010_kd010_lr1e6_steps200_20260710/mixed/checkpoint-000200,true,mixed,0.1787,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_nativekd2_balanced_sft010_kd010_lr1e6_steps200_20260710/train_summary.json,,,,,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_nativekd2_balanced_sft010_kd010_lr1e6_steps200_20260710/final,true,true,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_nativekd2_balanced_sft010_kd010_lr1e6_steps200_20260710/mixed/checkpoint-000200,ok,,frozen_best5.pack_06.replace05.jsonl
savant_wmt12_lora_scale_sweep_20260710,projects/distillation/translation/runs/savant_wmt12_lora_scale_sweep_20260710,contract_only,run_contract,2026-07-10 20:02:38 UTC,2026-07-10 20:07:03 UTC,,,external_wmt13_en_es_translation_benchmark_128,projects/distillation/translation/training_data/translate_distill_pairs.eval2_wmt13_enes_128.jsonl,,projects/distillation/translation/training_data/translate_distill_pairs.eval2_wmt13_enes_128.jsonl,adapter_scale_sweep,,,,,,,,,,true,stage_a,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_wmt12_lora_r16_lr1e5_steps1000_20260710/stage_a/checkpoint-000100,true,,,,,projects/distillation/translation/runs/savant_wmt12_lora_scale_sweep_20260710/run_contract.txt,,,,,,,,,ok,,translate_distill_pairs.eval2_wmt13_enes_128.jsonl
