event	role	p1	early_p1	eligible_p1	pool_p1	early_count	eligible_count	pool_count	remaining_min	remaining_max	truth
48704	0	457	229	229	229	1	1	3	24	56	0
48705	0	65334	65435	65435	65435	1	1	3	23	55	1
48706	0	65498	65517	65517	65517	1	1	3	22	54	1
48707	0	41942	20972	20972	20972	1	1	3	21	53	0
48708	0	42656	21329	21329	32251	1	1	3	20	52	1
48709	0	51458	51458	51458	58497	0	0	1	51	51	1
48710	0	40042	40042	40042	20022	0	0	1	50	50	0
48711	0	28861	28861	28861	14431	0	0	1	49	49	1
49208	0	45	45	45	23	0	0	1	32	32	0
49209	0	27993	27993	27993	46764	0	0	1	31	31	1
49210	0	8583	8583	8583	4292	0	0	1	30	30	0
49211	0	64196	64196	64196	32099	0	0	1	29	29	1
68056	0	47	47	47	24	0	0	1	32	32	0
68057	0	2871	2871	2871	34203	0	0	1	31	31	0
104936	1	47	47	47	24	0	0	1	72	72	0
104937	1	61406	61406	61406	63471	0	0	1	71	71	1
104938	1	65502	65502	65502	65519	0	0	1	70	70	1
104939	1	7187	7187	7187	3594	0	0	1	69	69	0
104940	1	22475	22475	22475	44005	0	0	1	68	68	0
109792	1	271	271	271	136	0	0	1	40	40	0
109793	1	58472	58472	58472	62004	0	0	1	39	39	1
109794	1	65492	65492	65492	65514	0	0	1	38	38	1
109795	1	10683	10683	10683	38109	0	0	1	37	37	0
109944	1	43	43	43	22	0	0	1	40	40	0
109945	1	64856	64856	64856	65196	0	0	1	39	39	1
109946	1	65523	65523	65523	65529	0	0	1	38	38	1
109947	1	785	785	785	33160	0	0	1	37	37	0
113192	1	75	75	75	38	0	0	1	16	16	0
113193	1	65453	65453	65453	65494	0	0	1	15	15	1
113194	1	65492	65492	65492	65514	0	0	1	14	14	1
113195	1	5061	5061	5061	2531	0	0	1	13	13	0
113196	1	13145	13145	13145	39340	0	0	1	12	12	1
113197	1	38988	38988	38988	52262	0	0	1	11	11	1
113198	1	52322	52322	52322	58929	0	0	1	10	10	1
113199	1	43368	43368	43368	21685	0	0	1	9	9	0
113200	1	693	693	693	347	0	0	1	8	8	0
113201	1	50474	50474	50474	58005	0	0	1	7	7	1
113202	1	60930	60930	60930	63233	0	0	1	6	6	1
113203	1	32689	32689	32689	49112	0	0	1	5	5	1
113204	1	5443	5443	5443	2722	0	0	1	4	4	0
113205	1	47304	47304	47304	56420	0	0	1	3	3	1
113206	1	5347	5347	5347	2674	0	0	1	2	2	0
113207	1	6625	6625	6625	3313	0	0	1	1	1	0
114824	1	59	59	59	30	0	0	1	64	64	0
114825	1	63820	63820	63820	64678	0	0	1	63	63	1
114826	1	65517	65517	65517	65526	0	0	1	62	62	1
114827	1	4475	4475	4475	2238	0	0	1	61	61	0
114828	1	43794	43794	43794	54665	0	0	1	60	60	1
114829	1	51458	51458	51458	58497	0	0	1	59	59	1
114830	1	62650	62650	62650	64093	0	0	1	58	58	1
114831	1	65302	65302	65302	65419	0	0	1	57	57	1
114832	1	303	303	303	152	0	0	1	56	56	0
114833	1	61188	61188	61188	63362	0	0	1	55	55	1
114834	1	65406	65406	65406	65471	0	0	1	54	54	1
114835	1	19945	19945	19945	9973	0	0	1	53	53	0
114836	1	58536	58536	58536	62036	0	0	1	52	52	1
114837	1	64628	64628	64628	65082	0	0	1	51	51	1
114838	1	33792	33792	33792	16897	0	0	1	50	50	1
117104	0	13	13	13	7	0	0	1	32	32	0
117105	0	46208	46208	46208	55872	0	0	1	31	31	1
117106	0	979	979	979	490	0	0	1	30	30	0
117107	0	64582	64582	64582	32292	0	0	1	29	29	1
119296	1	53	53	53	27	0	0	1	64	64	0
119297	1	64646	64646	64646	65091	0	0	1	63	63	1
119298	1	65521	65521	65521	65528	0	0	1	62	62	1
119299	1	1907	1907	1907	954	0	0	1	61	61	0
119300	1	56894	56894	56894	61215	0	0	1	60	60	1
119301	1	59390	59390	59390	62463	0	0	1	59	59	1
119302	1	65108	65108	65108	65322	0	0	1	58	58	1
119303	1	65453	65453	65453	65494	0	0	1	57	57	1
119304	1	193	193	193	97	0	0	1	56	56	0
119305	1	64400	64400	64400	64968	0	0	1	55	55	1
119306	1	65476	65476	65476	65506	0	0	1	54	54	1
119307	1	5061	5061	5061	2531	0	0	1	53	53	0
119308	1	63622	63622	63622	64579	0	0	1	52	52	1
119309	1	65396	65396	65396	65466	0	0	1	51	51	1
119310	1	61216	61216	61216	30609	0	0	1	50	50	1
119632	1	29	29	29	15	0	0	1	16	16	0
119633	1	65513	65513	65513	65524	0	0	1	15	15	1
119634	1	65519	65519	65519	65527	0	0	1	14	14	1
119635	1	945	945	945	473	0	0	1	13	13	0
119636	1	63290	63290	63290	64413	0	0	1	12	12	1
119637	1	64512	64512	64512	65024	0	0	1	11	11	1
119638	1	65220	65220	65220	65378	0	0	1	10	10	1
119639	1	5085	5085	5085	2543	0	0	1	9	9	0
119640	1	23	23	23	12	0	0	1	8	8	0
119641	1	65072	65072	65072	65304	0	0	1	7	7	1
119642	1	65412	65412	65412	65474	0	0	1	6	6	1
119643	1	64828	64828	64828	65182	0	0	1	5	5	1
119644	1	57	57	57	29	0	0	1	4	4	0
119645	1	65244	65244	65244	65390	0	0	1	3	3	1
119646	1	65	65	65	33	0	0	1	2	2	0
119647	1	67	67	67	34	0	0	1	1	1	0
126232	0	23	23	23	12	0	0	1	32	32	0
126233	0	545	545	545	33040	0	0	1	31	31	0
129264	1	25	25	25	13	0	0	1	16	16	0
129265	1	65505	65505	65505	65520	0	0	1	15	15	1
129266	1	65515	65515	65515	65525	0	0	1	14	14	1
129267	1	1871	1871	1871	936	0	0	1	13	13	0
129268	1	59232	59232	59232	62384	0	0	1	12	12	0
133720	1	23	23	23	12	0	0	1	16	16	0
133721	1	65517	65517	65517	65526	0	0	1	15	15	1
133722	1	65519	65519	65519	65527	0	0	1	14	14	1
133723	1	1403	1403	1403	702	0	0	1	13	13	0
133724	1	40240	40240	40240	20121	0	0	1	12	12	1
134176	1	19	19	19	10	0	0	1	16	16	0
134177	1	65515	65515	65515	65525	0	0	1	15	15	1
134178	1	65517	65517	65517	65526	0	0	1	14	14	1
134179	1	243	243	243	122	0	0	1	13	13	0
134180	1	22427	22427	22427	11214	0	0	1	12	12	1
138816	1	29	29	29	15	0	0	1	16	16	0
138817	1	65517	65517	65517	65526	0	0	1	15	15	1
138818	1	65511	65511	65511	65523	0	0	1	14	14	1
138819	1	539	539	539	270	0	0	1	13	13	0
138820	1	63730	63730	63730	31866	0	0	1	12	12	1
154432	1	51	51	51	26	0	0	1	32	32	0
154433	1	61716	61716	61716	63626	0	0	1	31	31	1
154434	1	65472	65472	65472	65504	0	0	1	30	30	1
154435	1	28953	28953	28953	47244	0	0	1	29	29	0
156920	1	343	343	343	172	0	0	1	48	48	0
156921	1	63026	63026	63026	64281	0	0	1	47	47	1
156922	1	64746	64746	64746	65141	0	0	1	46	46	1
156923	1	5415	5415	5415	2708	0	0	1	45	45	0
156924	1	29385	29385	29385	14693	0	0	1	44	44	1
182136	1	93	93	93	47	0	0	1	16	16	0
182137	1	63346	63346	63346	64441	0	0	1	15	15	1
182138	1	65463	65463	65463	65499	0	0	1	14	14	1
182139	1	8659	8659	8659	4330	0	0	1	13	13	0
182140	1	14637	14637	14637	7319	0	0	1	12	12	0
182141	1	5079	5079	5079	2540	0	0	1	11	11	0
182142	1	65062	65062	65062	65299	0	0	1	10	10	1
182143	1	65148	65148	65148	65342	0	0	1	9	9	1
182144	1	17	17	17	9	0	0	1	8	8	0
182145	1	65484	65484	65484	65510	0	0	1	7	7	1
182146	1	65515	65515	65515	65525	0	0	1	6	6	1
182147	1	47	47	47	24	0	0	1	5	5	0
182148	1	65414	65414	65414	65475	0	0	1	4	4	1
182149	1	65324	65324	65324	65430	0	0	1	3	3	1
182150	1	65507	65507	65507	65521	0	0	1	2	2	1
182151	1	65498	65498	65498	65517	0	0	1	1	1	1
193112	1	75	75	75	38	0	0	1	40	40	0
193113	1	64482	64482	64482	65009	0	0	1	39	39	1
193114	1	65390	65390	65390	65463	0	0	1	38	38	1
193115	1	6067	6067	6067	3034	0	0	1	37	37	1
196752	1	393	393	197	197	0	2	2	48	56	0
196753	1	65272	65272	65404	65404	0	2	2	47	55	1
196754	1	65382	65382	65459	65459	0	2	2	46	54	1
196755	1	10827	10827	5414	5414	0	2	2	45	53	0
196756	1	61504	61504	63520	63520	0	2	2	44	52	1
196757	1	62312	62312	63924	63924	0	2	2	43	51	1
196758	1	65054	65054	65295	65295	0	2	2	42	50	1
196759	1	65418	65418	65477	65477	0	2	2	41	49	1
196760	1	259	259	130	130	0	2	2	40	48	0
196761	1	65453	65453	65494	65494	0	2	2	39	47	1
196762	1	65340	65340	65438	65438	0	2	2	38	46	1
196763	1	63174	63174	64355	64355	0	2	2	37	45	1
