category	index	name	type	dims	strides	bytes	sha256	payload
parameter	0	b_r_0	BF16	320,8	2,640	5120	6aa0d468cd0944a456712f1970b62d605062828d52fef2a9d188c011dc12d773	parameters/00000.bin
parameter	1	w_r_0	BF16	128,320,8	2,256,81920	655360	d6b0660629ba1d529115bb63d593f3d55421553c88499e21f8a46824ac483b90	parameters/00001.bin
parameter	2	w_q_0	BF16	1024,1024	2,2048	2097152	3d65b8b76b537d4aceddb41f6de5525cd803e6e472e5966eac0c61022707814a	parameters/00002.bin
parameter	3	w_kv_0	BF16	2048,1024	2,4096	4194304	8f3015598f30932501705232841e7eaa58f2889898a8c15522d362e8919959d9	parameters/00003.bin
parameter	4	w_o_0	BF16	1024,1024	2,2048	2097152	7bc1929bbd6a8d5988ae5fea0a7c945804cd3601a309bc83970c2c040f086359	parameters/00004.bin
parameter	5	ff1_0	BF16	6144,1024	2,12288	12582912	458fad3c7f638a42ab69c20862001f24d0f86511f7a69655495013d5288833b8	parameters/00005.bin
parameter	6	ff_bias1_0	BF16	6144	2	12288	a1b218b120c7a5fd68109080199081aad4830422a375503baf5eff102e05294f	parameters/00006.bin
parameter	7	ff2_0	BF16	1024,3072	2,2048	6291456	dfe4f94d50c85028187ebefa09178550865c149812544339fbde3f354aba613b	parameters/00007.bin
parameter	8	ff_bias2_0	BF16	1024	2	2048	e27339fd44759d700e091906398024dd2eecd9168086234b0c1ce71056c6a6fa	parameters/00008.bin
parameter	9	ln_g_0	BF16	1024	2	2048	95fbbe9f3324b7d9f3a3550109772b0060170636c8aabc21e00aebae78594b7e	parameters/00009.bin
parameter	10	ln_b_0	BF16	1024	2	2048	9907e97335011600620a2ecf1de933d3fbe5c939a9314443895031bd4e4799fe	parameters/00010.bin
parameter	11	ln_g_1	BF16	1024	2	2048	95fbbe9f3324b7d9f3a3550109772b0060170636c8aabc21e00aebae78594b7e	parameters/00011.bin
parameter	12	ln_b_1	BF16	1024	2	2048	c98fa7ae653aad8c0d60ed769e5fe436c8796fdfc580b2b5249ba71009bee2f3	parameters/00012.bin
parameter	13	w_r_1	BF16	128,320,8	2,256,81920	655360	41b63689c74c475c6b765a90ebd1e364dda19f49f7c44e3c132480922a7ad22d	parameters/00013.bin
parameter	14	w_q_1	BF16	1024,1024	2,2048	2097152	9b63b6c54497e2a95f8a52eebe5feaaa7836358816b0e6736f86e1b4149bea32	parameters/00014.bin
parameter	15	w_kv_1	BF16	2048,1024	2,4096	4194304	a4916dbe29be3e3c8b9ce29272ae4fef70127ba869fc3fbdecbd0852af85e7b5	parameters/00015.bin
